Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
231,473088,10.834498,0.9306,0.3168,0.5579,648.75,0.0
232,475136,11.068721,0.7699,0.4231,0.5716,866.55,0.0
233,477184,10.987457,1.6223,0.3480,0.5640,712.70,0.0
234,479232,10.735132,0.5846,0.2839,0.4675,581.35,0.0
235,481280,10.553964,1.2824,0.3187,0.5254,652.60,0.0
236,483328,10.782052,0.6926,0.3363,0.4823,688.70,0.0
237,485376,10.669170,0.4710,0.2484,0.4673,508.65,5.5
238,487424,10.180141,0.6460,0.4138,0.5733,847.42,0.0
239,489472,10.091950,0.4759,0.5125,0.5413,1049.55,0.0
240,491520,10.055123,1.2590,0.5158,0.5834,1056.30,0.0
241,493568,10.832665,0.9189,0.4541,0.5013,930.03,5.25
242,495616,10.703084,0.6401,0.2761,0.5036,565.38,0.0
243,497664,10.869196,0.4163,0.3367,0.4579,689.54,5.5
244,499712,10.713078,0.4011,0.3255,0.5364,666.55,0.0
245,501760,10.981606,0.7441,0.3933,0.5816,805.45,0.0
246,503808,10.828024,1.2936,0.5070,0.5546,1038.32,0.0
247,505856,10.720719,0.9138,0.4960,0.5031,1015.74,5.25
248,507904,10.865633,1.6416,0.3556,0.5855,728.17,0.0
249,509952,10.859780,1.2421,0.5259,0.5732,1077.10,0.0
250,512000,10.646196,0.4250,0.5727,0.5315,1172.88,5.5
251,514048,10.798808,0.5392,0.4716,0.5608,965.84,0.0
252,516096,10.761687,1.9420,0.5050,0.5839,1034.25,0.0
253,518144,10.749429,0.8358,0.5210,0.5490,1067.03,0.0
254,520192,10.745497,1.1949,0.4816,0.5522,986.30,0.0
255,522240,10.901217,0.5002,0.5761,0.5469,1179.90,0.0
256,524288,10.430195,0.4150,0.4435,0.4970,908.25,11.0
257,526336,10.607971,0.5199,0.3469,0.4895,710.35,0.0
258,528384,10.781491,1.2223,0.2983,0.5724,610.99,5.5
259,530432,10.781439,0.9569,0.4528,0.5802,927.38,0.0
260,532480,10.908719,1.0245,0.4358,0.5749,892.53,0.0
261,534528,10.852396,1.0247,0.4101,0.5324,839.82,5.5
262,536576,10.909374,1.0992,0.3849,0.5296,788.30,0.0
263,538624,10.624578,-0.2663,0.4746,0.4656,971.93,7.0
264,540672,10.898654,0.8327,0.3284,0.4911,672.64,4.0
265,542720,11.084449,1.0407,0.4782,0.5800,979.43,0.0
266,544768,10.777401,1.6233,0.5011,0.5658,1026.18,0.0
267,546816,10.835940,0.9664,0.4666,0.5424,955.65,0.0
268,548864,11.026343,0.8398,0.5237,0.5894,1072.62,0.0
269,550912,11.113632,1.3319,0.5328,0.5302,1091.28,0.0
270,552960,10.674904,1.5195,0.4768,0.6186,976.50,0.0
271,555008,10.329707,0.4561,0.4863,0.5499,995.88,0.0
272,557056,10.827843,1.1675,0.4434,0.5451,908.00,0.0
273,559104,10.114326,0.0145,0.3460,0.4893,708.53,10.75
274,561152,10.931215,0.8781,0.3847,0.5516,787.78,0.0
275,563200,11.046322,1.3342,0.4544,0.5961,930.67,0.0
276,565248,10.897965,0.2204,0.4274,0.5451,875.32,0.0
277,567296,10.780793,0.6651,0.3998,0.5191,818.80,0.0
278,569344,10.324472,1.0614,0.3783,0.5738,774.67,0.0
279,571392,10.369531,1.1538,0.5004,0.5620,1024.85,0.0
280,573440,10.897968,0.6480,0.4752,0.5701,973.12,0.0
281,575488,10.751621,1.1319,0.5014,0.5483,1026.93,0.0
282,577536,10.887227,0.8090,0.4150,0.5564,849.95,0.0
283,579584,10.383882,0.9396,0.3213,0.5002,658.00,0.0
284,581632,10.027968,0.5755,0.3158,0.5386,646.84,5.5
285,583680,10.126921,1.1242,0.5491,0.5290,1124.60,0.0
286,585728,10.896320,0.9440,0.3807,0.5391,779.75,0.0
287,587776,10.747211,1.6982,0.4335,0.5598,887.88,0.0
288,589824,10.776689,1.3026,0.4793,0.5627,981.65,0.0
289,591872,10.787272,0.6822,0.4782,0.5528,979.33,0.0
290,593920,10.634305,0.8918,0.5190,0.5675,1063.00,0.0
291,595968,10.754337,1.2597,0.4519,0.5879,925.50,0.0
292,598016,10.902663,0.9879,0.4453,0.6041,911.98,0.0
293,600064,10.991118,1.1693,0.4691,0.5508,960.80,0.0
294,602112,10.931918,0.9558,0.5470,0.5364,1120.17,0.0
295,604160,10.493391,0.8460,0.4550,0.5657,931.83,5.25
296,606208,10.948156,1.1965,0.4541,0.5871,930.03,0.0
297,608256,10.973488,0.6523,0.5594,0.5470,1145.62,0.0
298,610304,11.050573,0.6574,0.4508,0.5381,923.26,5.5
299,612352,10.684031,0.7384,0.3941,0.5705,807.05,0.0
300,614400,10.496280,0.5785,0.3724,0.4815,762.60,5.25
301,616448,10.612350,0.7777,0.2180,0.4481,446.40,5.5
302,618496,10.859226,0.0913,0.2992,0.4908,612.72,0.0
303,620544,11.048376,0.8207,0.4315,0.5810,883.78,0.0
304,622592,10.880448,1.2801,0.3903,0.5356,799.28,0.0
305,624640,10.550157,0.3890,0.3998,0.5492,818.80,0.0
306,626688,11.063278,0.9616,0.4005,0.5547,820.15,0.0
307,628736,10.917450,0.6832,0.3619,0.5625,741.07,0.0
308,630784,10.860232,0.7163,0.2985,0.5389,611.35,0.0
309,632832,10.905713,0.4596,0.3662,0.5166,750.05,5.5
310,634880,10.848482,1.2384,0.4047,0.5779,828.88,0.0
311,636928,10.939044,1.3852,0.4312,0.6150,883.12,0.0
312,638976,11.003660,0.9197,0.4877,0.5575,998.85,0.0
313,641024,10.925670,0.8848,0.5353,0.5483,1096.27,0.0
314,643072,10.754267,1.2309,0.4718,0.5824,966.33,0.0
315,645120,10.916456,1.1182,0.3994,0.5711,818.05,0.0
316,647168,10.808051,0.9199,0.5052,0.5800,1034.57,0.0
317,649216,10.656143,1.2215,0.5783,0.5959,1184.32,0.0
318,651264,10.878897,0.9603,0.4997,0.5415,1023.45,5.5
319,653312,10.068579,0.9466,0.4517,0.5396,925.03,0.0
320,655360,10.467865,1.1889,0.5065,0.6071,1037.40,0.0
321,657408,10.709562,0.8626,0.5392,0.5865,1104.20,0.0
322,659456,9.374460,1.0520,0.4815,0.6346,986.12,0.0
323,661504,9.878669,0.9361,0.4860,0.6021,995.40,0.0
324,663552,10.326475,0.4993,0.5320,0.5307,1089.53,1.25
325,665600,10.678286,1.4997,0.4959,0.5789,1015.55,4.25
326,667648,10.760810,1.0094,0.4806,0.6358,984.30,0.0
327,669696,10.725895,1.2602,0.5270,0.5680,1079.23,0.0
328,671744,11.008776,0.5270,0.5559,0.5674,1138.40,0.0
329,673792,11.324734,1.0588,0.3671,0.5210,751.88,0.0
330,675840,10.652592,0.8239,0.3071,0.5075,629.01,5.5
331,677888,10.507167,0.6319,0.3781,0.5233,774.32,0.0
332,679936,10.670330,0.4736,0.4886,0.5307,1000.60,0.0
333,681984,10.562827,0.7614,0.3987,0.4826,816.64,10.5
334,684032,10.806941,1.2096,0.3996,0.5133,818.40,0.0
335,686080,10.044996,0.7622,0.3170,0.5098,649.17,5.5
336,688128,10.850086,1.0664,0.3201,0.5449,655.50,0.0
337,690176,10.887533,1.2197,0.4533,0.5923,928.32,0.0
338,692224,10.646603,0.8862,0.3642,0.5055,745.83,0.0
339,694272,10.521818,0.4579,0.2516,0.4183,515.20,11.0
340,696320,11.010602,0.6752,0.4205,0.5496,861.16,0.0
341,698368,10.900106,0.5608,0.4319,0.5176,884.57,5.5
342,700416,10.861257,0.7847,0.5575,0.5308,1141.77,0.0
343,702464,10.609698,0.8787,0.5199,0.5461,1064.74,5.5
344,704512,10.848984,0.8220,0.4507,0.5710,922.94,0.0
345,706560,10.727960,1.2123,0.5446,0.5825,1115.32,0.0
346,708608,10.840470,0.5406,0.5693,0.5596,1165.93,0.0
347,710656,10.605413,0.9632,0.4744,0.5669,971.58,5.5
348,712704,10.819435,0.8563,0.4813,0.5625,985.62,0.0
349,714752,10.779756,1.2755,0.3766,0.5396,771.20,0.0
350,716800,10.839267,1.5933,0.3246,0.5797,664.72,0.0
351,718848,10.889237,0.1645,0.3657,0.4930,748.90,0.0
352,720896,10.665839,0.6561,0.2535,0.4695,519.25,0.0
353,722944,9.574397,0.9001,0.3976,0.5974,814.32,0.0
354,724992,10.295952,0.7395,0.3975,0.5009,814.10,10.75
355,727040,10.916164,0.3475,0.3633,0.5531,744.08,0.0
356,729088,10.288029,1.0099,0.5316,0.4990,1088.65,0.0
357,731136,10.181500,0.4634,0.4160,0.4837,851.97,5.5
358,733184,10.903395,1.1220,0.4758,0.5633,974.35,0.0
359,735232,10.577760,0.7145,0.3860,0.5405,790.50,0.0
360,737280,10.722386,1.0573,0.4290,0.5496,878.60,0.0
361,739328,10.713334,0.5116,0.2698,0.4814,552.50,0.0
362,741376,10.770483,-0.0471,0.3097,0.4852,634.20,0.0
363,743424,10.820534,0.6777,0.3290,0.4865,673.85,0.0
364,745472,10.961226,0.7846,0.2723,0.4784,557.66,5.5
365,747520,10.127203,0.4013,0.3746,0.5288,767.28,0.0
366,749568,10.465936,0.9260,0.4324,0.5148,885.65,5.5
367,751616,10.835782,0.8826,0.2859,0.4493,585.48,0.0
368,753664,10.819552,0.7701,0.2948,0.5360,603.72,0.0
369,755712,10.437274,0.2343,0.2988,0.4581,611.85,5.5
370,757760,10.644003,0.1487,0.2785,0.4940,570.34,5.25
371,759808,10.669931,0.8788,0.4480,0.4838,917.41,5.5
372,761856,10.876601,0.8466,0.5175,0.5574,1059.82,0.0
373,763904,10.934492,1.1711,0.4495,0.5486,920.50,5.5
374,765952,10.800135,0.8469,0.5698,0.5643,1167.05,0.0
375,768000,10.747825,1.0854,0.5019,0.5713,1027.98,0.0
376,770048,11.083577,1.0219,0.6268,0.5345,1283.62,0.0
377,772096,10.908523,0.6663,0.4236,0.5566,867.54,5.5
378,774144,10.811179,1.0982,0.3100,0.4962,634.89,5.5
379,776192,10.836064,0.9344,0.5424,0.5391,1110.85,0.0
380,778240,10.677037,0.8149,0.4427,0.5168,906.67,11.0
381,780288,10.814281,0.8038,0.5343,0.5858,1094.18,0.0
382,782336,11.006943,1.1037,0.4534,0.5303,928.59,5.25
383,784384,10.974829,1.0283,0.4330,0.5655,886.72,0.0
384,786432,10.754571,1.1905,0.4434,0.5867,908.06,5.25
385,788480,10.210509,1.2000,0.3783,0.5814,774.75,0.0
386,790528,10.528231,0.9518,0.5016,0.5941,1027.18,0.0
387,792576,10.461084,0.5538,0.5729,0.5318,1173.20,0.0
388,794624,10.971477,0.4160,0.4468,0.5002,915.14,5.5
389,796672,10.917501,1.3975,0.4348,0.5600,890.42,0.0
390,798720,10.462636,1.0828,0.5616,0.5843,1150.07,0.0
391,800768,10.792394,0.8346,0.6188,0.5606,1267.30,0.0
392,802816,10.968575,1.0314,0.4824,0.5161,987.90,0.0
393,804864,10.955084,0.5934,0.4078,0.5369,835.10,0.0
394,806912,10.969869,0.6165,0.4602,0.5358,942.42,0.0
395,808960,10.638342,0.5187,0.4278,0.5425,876.05,0.0
396,811008,10.430770,0.5431,0.4677,0.5531,957.83,0.0
397,813056,9.879206,0.8481,0.4042,0.5405,827.80,0.0
398,815104,9.838961,0.3144,0.2345,0.4243,480.19,11.0
399,817152,10.282623,0.4106,0.4048,0.5776,828.95,0.0
400,819200,10.801564,1.0496,0.5022,0.5351,1028.46,5.5
401,821248,10.589094,0.2717,0.4025,0.5357,824.38,0.0
402,823296,10.469294,0.6865,0.4018,0.5315,822.83,5.25
403,825344,10.996278,0.9352,0.4282,0.5800,877.03,0.25
404,827392,10.833408,0.4520,0.5481,0.5818,1122.45,0.0
405,829440,10.540726,0.2426,0.5616,0.5024,1150.09,5.5
406,831488,10.942016,0.7550,0.5380,0.5908,1101.73,0.0
407,833536,10.495855,0.8213,0.3903,0.5113,799.25,5.25
408,835584,10.799067,1.1611,0.5745,0.5629,1176.60,0.0
409,837632,10.916472,0.5751,0.5527,0.5268,1131.96,5.25
410,839680,11.014486,0.7550,0.5205,0.5359,1066.07,0.0
411,841728,10.858521,1.0462,0.4743,0.4961,971.30,10.75
412,843776,10.859391,0.1843,0.3704,0.4596,758.66,5.75
413,845824,11.037948,0.6028,0.4120,0.5129,843.67,2.25
414,847872,10.660575,0.7603,0.4512,0.5562,924.10,3.25
415,849920,10.686621,0.8938,0.5537,0.5496,1134.00,0.0
